,0,1,2,3,4,5
0,50005001,5000,5001,10100,1,0
1,50005024,5000,5024,10,1,0
2,50015000,5001,5000,4100,1,0
3,50015002,5001,5002,10100,1,0
4,50025001,5002,5001,10100,1,0
5,50025003,5002,5003,10100,1,0
6,50035002,5003,5002,10100,1,0
7,50035004,5003,5004,4100,1,0
8,50045003,5004,5003,4100,1,0
9,50045005,5004,5005,10100,1,0
10,50055004,5005,5004,10100,1,0
11,50055006,5005,5006,4100,1,0
12,50065005,5006,5005,4100,1,0
13,50065007,5006,5007,10100,1,0
14,50075006,5007,5006,10100,1,0
15,50075008,5007,5008,16100,1,0
16,50085007,5008,5007,10000,1,0
17,50085009,5008,5009,16100,1,0
18,50095008,5009,5008,16100,1,0
19,50095010,5009,5010,4100,1,0
20,50095118,5009,5118,10100,1,0
21,50105009,5010,5009,10100,1,0
22,50105011,5010,5011,16200,1,0
23,50115010,5011,5010,16200,1,0
24,50115012,5011,5012,16000,1,0
25,50125011,5012,5011,10000,1,0
26,50125119,5012,5119,4100,1,0
27,50135014,5013,5014,4100,1,0
28,50135305,5013,5305,10100,1,0
29,50145013,5014,5013,4100,1,0
30,50145015,5014,5015,10100,1,0
31,50155014,5015,5014,10100,1,0
32,50155016,5015,5016,10100,1,0
33,50165015,5016,5015,4100,1,0
34,50165017,5016,5017,4100,1,0
35,50175016,5017,5016,10100,1,0
36,50175018,5017,5018,10100,1,0
37,50185017,5018,5017,10100,1,0
38,50185019,5018,5019,4100,1,0
39,50195018,5019,5018,10100,1,0
40,50195020,5019,5020,10100,1,0
41,50205019,5020,5019,10100,1,0
42,50205022,5020,5022,10,1,0
43,50215000,5021,5000,10,1,0
44,50235020,5023,5020,10,1,0
45,51005101,5100,5101,4100,1,0
46,51005133,5100,5133,10,1,0
47,51015100,5101,5100,4100,1,0
48,51015102,5101,5102,4100,1,0
49,51025101,5102,5101,4100,1,0
50,51025103,5102,5103,10100,1,0
51,51035102,5103,5102,4100,1,0
52,51035104,5103,5104,4100,1,0
53,51045103,5104,5103,10100,1,0
54,51045105,5104,5105,4100,1,0
55,51055104,5105,5104,4100,1,0
56,51055106,5105,5106,4100,1,0
57,51065105,5106,5105,4100,1,0
58,51065107,5106,5107,4100,1,0
59,51075106,5107,5106,4100,1,0
60,51075108,5107,5108,4100,1,0
61,51085107,5108,5107,4100,1,0
62,51085109,5108,5109,4100,1,0
63,51095108,5109,5108,4100,1,0
64,51095110,5109,5110,10100,1,0
65,51105109,5110,5109,4100,1,0
66,51105111,5110,5111,4100,1,0
67,51115110,5111,5110,4100,1,0
68,51115112,5111,5112,4100,1,0
69,51125111,5112,5111,4100,1,0
70,51125113,5112,5113,4100,1,0
71,51135112,5113,5112,4100,1,0
72,51135114,5113,5114,4100,1,0
73,51145113,5114,5113,4100,1,0
74,51145115,5114,5115,10100,1,0
75,51155114,5115,5114,10100,1,0
76,51155116,5115,5116,4100,1,0
77,51165115,5116,5115,4100,1,0
78,51165117,5116,5117,10100,1,0
79,51175116,5117,5116,4100,1,0
80,51175118,5117,5118,4100,1,0
81,51185009,5118,5009,22100,1,0
82,51185117,5118,5117,10100,1,0
83,51195012,5119,5012,10100,1,0
84,51195120,5119,5120,10100,1,0
85,51205119,5120,5119,10100,1,0
86,51205121,5120,5121,4100,1,0
87,51215120,5121,5120,4100,1,0
88,51215122,5121,5122,10100,1,0
89,51225121,5122,5121,10100,1,0
90,51225123,5122,5123,4100,1,0
91,51235122,5123,5122,4100,1,0
92,51235124,5123,5124,10200,1,0
93,51245123,5124,5123,4200,1,0
94,51245131,5124,5131,10,1,0
95,51305100,5130,5100,10,1,0
96,51325124,5132,5124,10,1,0
97,53005301,5300,5301,4100,1,0
98,53005311,5300,5311,10,1,0
99,53015300,5301,5300,4100,1,0
100,53015302,5301,5302,10100,1,0
101,53025301,5302,5301,10100,1,0
102,53025303,5302,5303,4100,1,0
103,53035302,5303,5302,4100,1,0
104,53035304,5303,5304,10100,1,0
105,53045303,5304,5303,10100,1,0
106,53045305,5304,5305,4100,1,0
107,53055013,5305,5013,16100,1,0
108,53055304,5305,5304,4100,1,0
109,53105300,5310,5300,10,1,0
110,501150132,5011,50132,16000,1,0
111,501250132,5012,50132,10000,1,0
112,501325011,50132,5011,10000,1,0
113,501325012,50132,5012,10000,1,0
114,501325013,50132,5013,100,1,0
115,501350132,5013,50132,100,1,0
