,0,1,2,3,4
0,5000,3,5191,13412,
1,5001,3,4386,12596,
2,5002,3,4332,11652,
3,5003,3,4148,10920,
4,5004,3,4087,10004,
5,5005,3,4084,9139,
6,5006,3,4050,8619,
7,5007,3,4017,8032,
8,5008,3,5627,7075,
9,5009,3,6776,7171,
10,5010,3,7838,6957,
11,5011,3,9703,6315,
12,5012,3,10573,6085,
13,5013,3,10973,5442,
14,50132,3,10800,5500,
15,5014,3,11323,4835,
16,5015,3,11717,4073,
17,5016,3,12049,3519,
18,5017,3,12522,2445,
19,5018,3,13522,2349,
20,5019,3,14568,2621,
21,5020,3,14639,2692,
22,5021,1,5201,13412,
23,5022,2,14639,2702,1
24,5023,1,14649,2692,
25,5024,2,5191,13422,1
26,5100,3,3738,1,
27,5101,3,3867,871,
28,5102,3,4258,1074,
29,5103,3,4750,960,
30,5104,3,5178,659,
31,5105,3,5548,714,
32,5106,3,5697,1096,
33,5107,3,5838,1369,
34,5108,3,6025,1786,
35,5109,3,6278,2429,
36,5110,3,6427,2808,
37,5111,3,6570,3162,
38,5112,3,6616,3709,
39,5113,3,6598,4176,
40,5114,3,6474,4641,
41,5115,3,6397,5225,
42,5116,3,6385,5592,
43,5117,3,6404,6340,
44,5118,3,6297,6713,
45,5119,3,9803,7976,
46,5120,3,9178,9172,
47,5121,3,9066,9607,
48,5122,3,9066,9607,
49,5123,3,8623,10802,
50,5124,3,8403,11447,
51,5130,1,3748,1,
52,5131,2,8403,11457,1
53,5132,1,8413,11447,
54,5133,2,3738,11,1
55,5300,3,14287,4001,
56,5301,3,14036,4625,
57,5302,3,13491,5334,
58,5303,3,13054,5956,
59,5304,3,12365,6149,
60,5305,3,11663,5756,
61,5310,1,14297,4001,
62,5311,2,14287,4011,1
