,0,1,2,3,4,5,6,7,8,9
0,5001,Isolatorweg,50005001,1,100,0,0,0,3,0
1,5002,Station_Sloterdijk,50015002,1,100,0,0,0,3,0
2,5003,Burg_De_Vlugtlaan,50025003,1,100,0,0,0,3,0
3,5004,Jan_van_Galenstraat,50035004,1,100,0,0,0,3,0
4,5005,Postjesweg,50045005,1,100,0,0,0,3,0
5,5006,Station_Lelylaan,50055006,1,100,0,0,0,3,0
6,5007,Heemstedestraat,50065007,1,100,0,0,0,3,0
7,5008,Henk_Sneevlietweg,50075008,1,100,0,0,0,3,0
8,5009,Amstelreenseweg,50085009,1,100,0,0,0,3,0
9,5010,Station_Zuid,50095010,1,100,0,0,0,3,0
10,5011,Station_RAI,50105011,1,100,0,0,0,3,0
11,5012,Overamstel,50105011,16100,100,0,0,0,3,0
12,5013,Van_der_Madeweg,501325013,1,100,0,0,0,3,0
13,5014,Station_Duivendrecht,50135014,4000,100,0,0,0,3,0
14,5015,Strandvliet,50145015,10000,100,0,0,0,3,0
15,5016,Station_Bijlmer_ArenA,50155016,4000,100,0,0,0,3,0
16,5017,Bullewijk,50165017,10000,100,0,0,0,3,0
17,5018,Station_Holendrecht,50175018,10000,100,0,0,0,3,0
18,5019,Reigersbos,50185019,10000,100,0,0,0,3,0
19,5020,Gein,50195020,10000,100,0,0,0,3,0
20,5101,Westwijk,51005101,1,100,0,0,0,3,0
21,5102,Sacharovlaan,51015102,1,100,0,0,0,3,0
22,5103,Spinnerij,51025103,1,100,0,0,0,3,0
23,5104,Poortwachter,51035104,1,100,0,0,0,3,0
24,5105,Brink,51045105,1,100,0,0,0,3,0
25,5106,Meent,51055106,1,100,0,0,0,3,0
26,5107,Gondel,51065107,1,100,0,0,0,3,0
27,5108,Marne,51075108,1,100,0,0,0,3,0
28,5109,Sportlaan,51085109,1,100,0,0,0,3,0
29,5110,Ouderkerkerlaan,51095110,1,100,0,0,0,3,0
30,5111,Amstelveen_centrum,51105111,1,100,0,0,0,3,0
31,5112,Oranjebaan,51115112,1,100,0,0,0,3,0
32,5113,Onderuit,51125113,1,100,0,0,0,3,0
33,5114,Zonnestein,51135114,1,100,0,0,0,3,0
34,5115,Kronenburg,51145115,1,100,0,0,0,3,0
35,5116,Uilenstede,51155116,1,100,0,0,0,3,0
36,5117,Van_Boshuizenstraat,51165117,1,100,0,0,0,3,0
37,5118,A.J._Ernststraat,51175118,1,100,0,0,0,3,0
38,5119,De_Boelelaan/VU,51185009,1,100,0,0,0,3,0
39,5120,Spaklerweg,50125119,1,100,0,0,0,3,0
40,5121,Amstelstation,51195120,1,100,0,0,0,3,0
41,5122,Wibautstraat,51205121,1,100,0,0,0,3,0
42,5123,Weesperplein,51215122,1,100,0,0,0,3,0
43,5124,Waterlooplein,51225123,1,100,0,0,0,3,0
