,0,1,2
0,5126,5126,0.00
1,5125,5126,256.47
2,5124,5126,628.59
3,5123,5126,1475.35
4,5122,5126,315.95
5,5121,5126,431.60
6,5120,5126,171.87
7,5013,5126,77.49
8,5014,5126,21.21
9,5015,5126,67.56
10,5016,5126,491.45
11,5017,5126,174.04
12,5018,5126,254.55
13,5019,5126,36.40
14,5020,5126,34.78
15,5306,5126,79.98
16,5305,5126,71.72
17,5304,5126,72.72
18,5303,5126,66.73
19,5302,5126,31.88
20,5301,5126,34.65
21,5012,5126,27.41
22,5011,5126,148.08
23,5010,5126,204.77
24,5009,5126,4.17
25,5008,5126,8.89
26,5007,5126,0.09
27,5006,5126,0.31
28,5005,5126,0.24
29,5004,5126,0.15
30,5003,5126,0.05
31,5002,5126,0.21
32,5001,5126,0.00
33,5119,5126,161.03
34,5118,5126,36.17
35,5117,5126,34.56
36,5116,5126,14.58
37,5115,5126,16.54
38,5114,5126,9.26
39,5113,5126,2.18
40,5112,5126,11.99
41,5111,5126,15.62
42,5110,5126,20.29
43,5109,5126,12.59
44,5108,5126,3.27
45,5107,5126,4.12
46,5106,5126,3.40
47,5105,5126,2.77
48,5104,5126,11.19
49,5103,5126,5.29
50,5102,5126,9.76
51,5101,5126,139.50
52,5126,5125,195.49
53,5125,5125,0.00
54,5124,5125,363.69
55,5123,5125,501.46
56,5122,5125,181.55
57,5121,5125,234.96
58,5120,5125,66.32
59,5013,5125,30.08
60,5014,5125,13.66
61,5015,5125,36.10
62,5016,5125,288.14
63,5017,5125,89.19
64,5018,5125,132.93
65,5019,5125,24.18
66,5020,5125,21.53
67,5306,5125,43.88
68,5305,5125,45.19
69,5304,5125,39.03
70,5303,5125,47.06
71,5302,5125,22.53
72,5301,5125,22.15
73,5012,5125,12.14
74,5011,5125,104.21
75,5010,5125,141.21
76,5009,5125,5.26
77,5008,5125,18.39
78,5007,5125,0.18
79,5006,5125,0.33
80,5005,5125,0.77
81,5004,5125,0.16
82,5003,5125,0.00
83,5002,5125,0.16
84,5001,5125,0.00
85,5119,5125,122.00
86,5118,5125,26.59
87,5117,5125,26.20
88,5116,5125,9.56
89,5115,5125,11.17
90,5114,5125,7.43
91,5113,5125,2.53
92,5112,5125,8.58
93,5111,5125,13.55
94,5110,5125,14.01
95,5109,5125,8.86
96,5108,5125,2.16
97,5107,5125,2.72
98,5106,5125,1.90
99,5105,5125,1.35
100,5104,5125,6.73
101,5103,5125,3.23
102,5102,5125,8.01
103,5101,5125,105.74
104,5126,5124,206.63
105,5125,5124,109.72
106,5124,5124,0.00
107,5123,5124,53.19
108,5122,5124,48.39
109,5121,5124,79.13
110,5120,5124,23.31
111,5013,5124,9.96
