,0,1,2,3
0,5001,1,1,['5001']
1,5002,1,1,['5002']
2,5003,1,1,['5003']
3,5004,1,1,['5004']
4,5005,1,1,['5005']
5,5006,1,1,['5006']
6,5007,1,1,['5007']
7,5008,1,1,['5008']
8,5009,1,1,['5009']
9,5010,1,1,['5010']
10,5011,1,1,['5011']
11,5012,1,1,['5012']
12,5013,1,1,['5013']
13,5014,1,1,['5014']
14,5015,1,1,['5015']
15,5016,1,1,['5016']
16,5017,1,1,['5017']
17,5018,1,1,['5018']
18,5019,1,1,['5019']
19,5020,1,1,['5020']
20,5021,1,1,['5021']
21,5022,1,1,['5022']
22,5023,1,1,['5023']
23,5024,1,1,['5024']
24,5025,1,1,['5025']
25,5026,1,1,['5026']
26,5027,1,1,['5027']
27,5028,1,1,['5028']
28,5029,1,1,['5029']
29,5030,1,1,['5030']
30,5031,1,1,['5031']
31,5032,1,1,['5032']
32,5033,1,1,['25001']
33,5034,1,1,['25002']
34,5035,1,1,['25003']
35,5036,1,1,['25004']
36,5037,1,1,['25005']
37,5038,1,1,['25006']
38,5039,1,1,['25007']
39,5040,1,1,['25008']
40,5041,1,1,['25009']
41,5042,1,1,['25010']
42,5043,1,1,['25011']
43,5044,1,1,['25012']
44,5045,1,1,['25013']
45,5046,1,1,['25014']
46,5047,1,1,['25015']
47,5048,1,1,['25016']
48,5049,1,1,['25017']
49,5050,1,1,['25018']
50,5051,1,1,['25019']
51,5052,1,1,['25020']
52,5053,1,1,['25021']
53,5054,1,1,['25022']
54,5055,1,1,['25023']
55,5056,1,1,['25024']
56,5057,1,1,['25025']
57,5058,1,1,['25026']
58,5059,1,1,['25027']
59,5060,1,1,['25028']
60,5061,1,1,['25029']
61,5062,1,1,['25030']
62,5063,1,1,['25031']
63,5064,1,1,['25032']
64,5101,2,1,['5101']
65,5102,2,1,['5102']
66,5103,2,1,['5103']
67,5104,2,1,['5104']
68,5105,2,1,['5105']
69,5106,2,1,['5106']
70,5107,2,1,['5107']
71,5108,2,1,['5108']
72,5109,2,1,['5109']
73,5110,2,1,['5110']
74,5111,2,1,['5111']
75,5112,2,1,['5112']
76,5113,2,1,['5113']
77,5114,2,1,['5114']
78,5115,2,1,['5115']
79,5116,2,1,['5116']
80,5117,2,1,['5117']
81,5118,2,1,['5118']
82,5119,2,1,['5119']
83,5120,2,1,['5120']
84,5121,2,1,['5121']
85,5122,2,1,['5122']
86,5123,2,1,['5123']
87,5124,2,1,['5124']
88,5125,2,1,['5125']
89,5126,2,1,['5126']
90,5127,2,1,['5127']
91,5128,2,1,['5128']
92,5129,2,1,['5129']
93,5130,2,1,['5130']
94,5131,2,1,['5131']
95,5132,2,1,['5132']
96,5133,2,1,['25101']
97,5134,2,1,['25102']
98,5135,2,1,['25103']
99,5136,2,1,['25104']
100,5137,2,1,['25105']
101,5138,2,1,['25106']
102,5139,2,1,['25107']
103,5140,2,1,['25108']
104,5141,2,1,['25109']
105,5142,2,1,['25110']
106,5143,2,1,['25111']
107,5144,2,1,['25112']
108,5145,2,1,['25113']
109,5146,2,1,['25114']
110,5147,2,1,['25115']
111,5148,2,1,['25116']
112,5149,2,1,['25117']
113,5150,2,1,['25118']
114,5151,2,1,['25119']
115,5152,2,1,['25120']
116,5153,2,1,['25121']
117,5154,2,1,['25122']
118,5155,2,1,['25123']
119,5156,2,1,['25124']
120,5157,2,1,['25125']
121,5158,2,1,['25126']
122,5159,2,1,['25127']
123,5160,2,1,['25128']
124,5161,2,1,['25129']
125,5162,2,1,['25130']
126,5163,2,1,['25131']
127,5164,2,1,['25132']
128,5301,3,1,['5301']
129,5302,3,1,['5302']
130,5303,3,1,['5303']
131,5304,3,1,['5304']
132,5305,3,1,['5305']
133,5306,3,1,['5306']
134,5307,3,1,['5307']
135,5308,3,1,['5308']
136,5309,3,1,['5309']
137,5310,3,1,['5310']
138,5311,3,1,['5311']
139,5312,3,1,['5312']
140,5313,3,1,['5313']
141,5314,3,1,['5314']
142,5315,3,1,['5315']
143,5316,3,1,['5316']
144,5317,3,1,['5317']
145,5318,3,1,['5318']
146,5319,3,1,['5319']
147,5320,3,1,['5320']
148,5321,3,1,['5321']
149,5322,3,1,['5322']
150,5323,3,1,['5323']
151,5324,3,1,['5324']
152,5325,3,1,['5325']
153,5326,3,1,['5326']
154,5327,3,1,['5327']
155,5328,3,1,['5328']
156,5329,3,1,['5329']
157,5330,3,1,['5330']
158,5331,3,1,['5331']
159,5332,3,1,['5332']
160,5333,3,1,['25301']
161,5334,3,1,['25302']
162,5335,3,1,['25303']
163,5336,3,1,['25304']
164,5337,3,1,['25305']
165,5338,3,1,['25306']
166,5339,3,1,['25307']
167,5340,3,1,['25308']
168,5341,3,1,['25309']
169,5342,3,1,['25310']
170,5343,3,1,['25311']
171,5344,3,1,['25312']
172,5345,3,1,['25313']
173,5346,3,1,['25314']
174,5347,3,1,['25315']
175,5348,3,1,['25316']
176,5349,3,1,['25317']
177,5350,3,1,['25318']
178,5351,3,1,['25319']
179,5352,3,1,['25320']
180,5353,3,1,['25321']
181,5354,3,1,['25322']
182,5355,3,1,['25323']
183,5356,3,1,['25324']
184,5357,3,1,['25325']
185,5358,3,1,['25326']
186,5359,3,1,['25327']
187,5360,3,1,['25328']
188,5361,3,1,['25329']
189,5362,3,1,['25330']
190,5363,3,1,['25331']
191,5364,3,1,['25332']
192,5401,3,1,['5401']
193,5402,3,1,['5402']
194,5403,3,1,['5403']
195,5404,3,1,['5404']
196,5405,3,1,['5405']
197,5406,3,1,['5406']
198,5407,3,1,['5407']
199,5408,3,1,['5408']
200,5409,3,1,['5409']
201,5410,3,1,['5410']
202,5411,3,1,['5411']
203,5412,3,1,['5412']
204,5413,3,1,['5413']
205,5414,3,1,['5414']
206,5415,3,1,['5415']
207,5416,3,1,['5416']
208,5417,3,1,['5417']
209,5418,3,1,['5418']
210,5419,3,1,['5419']
211,5420,3,1,['5420']
212,5421,3,1,['5421']
213,5422,3,1,['5422']
214,5423,3,1,['5423']
215,5424,3,1,['5424']
216,5425,3,1,['5425']
217,5426,3,1,['5426']
218,5427,3,1,['5427']
219,5428,3,1,['5428']
220,5429,3,1,['5429']
221,5430,3,1,['5430']
222,5431,3,1,['5431']
223,5432,3,1,['5432']
224,5433,3,1,['25401']
225,5434,3,1,['25402']
226,5435,3,1,['25403']
227,5436,3,1,['25404']
228,5437,3,1,['25405']
229,5438,3,1,['25406']
230,5439,3,1,['25407']
231,5440,3,1,['25408']
232,5441,3,1,['25409']
233,5442,3,1,['25410']
234,5443,3,1,['25411']
235,5444,3,1,['25412']
236,5445,3,1,['25413']
237,5446,3,1,['25414']
238,5447,3,1,['25415']
239,5448,3,1,['25416']
240,5449,3,1,['25417']
241,5450,3,1,['25418']
242,5451,3,1,['25419']
243,5452,3,1,['25420']
244,5453,3,1,['25421']
245,5454,3,1,['25422']
246,5455,3,1,['25423']
247,5456,3,1,['25424']
248,5457,3,1,['25425']
249,5458,3,1,['25426']
250,5459,3,1,['25427']
251,5460,3,1,['25428']
252,5461,3,1,['25429']
253,5462,3,1,['25430']
254,5463,3,1,['25431']
255,5464,3,1,['25432']
