,",Origin_stop_ID,Origin_stop_name,Destination_stop_ID,Destination_stop_name,Nr_pass_completed,Average_travel_time,Average_number_boardings,Unnamed: 7"
0,"0,5125,Nieuwmarkt,5126,Centraal_Station,264,221.843,1,"
1,"1,5124,Waterlooplein,5126,Centraal_Station,589,276.545,1,"
2,"2,5123,Weesperplein,5126,Centraal_Station,1430,397.07,1,"
3,"3,5122,Wibautstraat,5126,Centraal_Station,348,445.657,1,"
4,"4,5121,Amstelstation,5126,Centraal_Station,437,567.808,1,"
5,"5,5120,Spaklerweg,5126,Centraal_Station,170,616.542,1,"
6,"6,5013,Van_der_Madeweg,5126,Centraal_Station,69,874.139,1,"
7,"7,5014,Station_Duivendrecht,5126,Centraal_Station,29,887.096,1,"
8,"8,5015,Strandvliet,5126,Centraal_Station,70,1116.72,1.31429,"
9,"9,5016,Station_Bijlmer_ArenA,5126,Centraal_Station,502,1112.74,1.33865,"
10,"10,5017,Bullewijk,5126,Centraal_Station,171,1232.87,1.46199,"
11,"11,5018,Station_Holendrecht,5126,Centraal_Station,234,1349.8,1.36752,"
12,"12,5019,Reigersbos,5126,Centraal_Station,31,1543.49,1.83871,"
13,"13,5020,Gein,5126,Centraal_Station,38,1592.79,1.52632,"
14,"14,5306,Venserpolder,5126,Centraal_Station,75,1040.61,1,"
15,"15,5305,Station_Diemen-Zuid,5126,Centraal_Station,70,1088.45,1,"
16,"16,5304,Verrijn_Stuartweg,5126,Centraal_Station,80,1248.67,1,"
17,"17,5303,Station_Ganzenhoef,5126,Centraal_Station,64,1273.86,1,"
18,"18,5302,Kraaiennest_station,5126,Centraal_Station,23,1399.86,1,"
19,"19,5301,Gaasperplas,5126,Centraal_Station,32,1483.43,1,"
20,"20,5012,Overamstel,5126,Centraal_Station,30,1016.13,1,"
21,"21,5011,Station_RAI,5126,Centraal_Station,156,1187.06,1,"
22,"22,5010,Station_Zuid,5126,Centraal_Station,187,1245.98,1.25134,"
23,"23,5009,Amstelreenseweg,5126,Centraal_Station,2,1599.77,2,"
24,"24,5008,Henk_Sneevlietweg,5126,Centraal_Station,11,1760.29,2.09091,"
25,"25,5006,Station_Lelylaan,5126,Centraal_Station,1,2145.62,2,"
26,"26,5004,Jan_van_Galenstraat,5126,Centraal_Station,1,2055.34,3,"
27,"27,5119,De_Boelelaan/VU,5126,Centraal_Station,156,1482.09,1,"
28,"28,5118,A.J._Ernststraat,5126,Centraal_Station,35,1533.22,1,"
29,"29,5117,Van_Boshuizenstraat,5126,Centraal_Station,29,1710.61,1,"
30,"30,5116,Uilenstede,5126,Centraal_Station,15,1732.03,1,"
31,"31,5115,Kronenburg,5126,Centraal_Station,22,1770.58,1,"
32,"32,5114,Zonnestein,5126,Centraal_Station,7,1937.12,1,"
33,"33,5113,Onderuit,5126,Centraal_Station,2,1860.36,1,"
34,"34,5112,Oranjebaan,5126,Centraal_Station,9,2099.35,1,"
35,"35,5111,Amstelveen_centrum,5126,Centraal_Station,12,2079.38,1,"
36,"36,5110,Ouderkerkerlaan,5126,Centraal_Station,17,2211.18,1,"
37,"37,5109,Sportlaan,5126,Centraal_Station,9,2203.25,1,"
38,"38,5108,Marne,5126,Centraal_Station,3,2304.85,1,"
39,"39,5107,Gondel,5126,Centraal_Station,3,2338.9,1,"
40,"40,5106,Meent,5126,Centraal_Station,3,2293.68,1,"
41,"41,5105,Brink,5126,Centraal_Station,3,2408.58,1,"
