Origin_stop_ID	Origin_stop_name	Destination_stop_ID	Destination_stop_name	Nr_pass_completed	Average_travel_time	Average_number_boardings	
5125	Nieuwmarkt	5126	Centraal_Station	264	221.843	1	
5124	Waterlooplein	5126	Centraal_Station	589	276.545	1	
5123	Weesperplein	5126	Centraal_Station	1430	397.07	1	
5122	Wibautstraat	5126	Centraal_Station	348	445.657	1	
5121	Amstelstation	5126	Centraal_Station	437	567.808	1	
5120	Spaklerweg	5126	Centraal_Station	170	616.542	1	
5013	Van_der_Madeweg	5126	Centraal_Station	69	874.139	1	
5014	Station_Duivendrecht	5126	Centraal_Station	29	887.096	1	
5015	Strandvliet	5126	Centraal_Station	70	1116.72	1.31429	
5016	Station_Bijlmer_ArenA	5126	Centraal_Station	502	1112.74	1.33865	
5017	Bullewijk	5126	Centraal_Station	171	1232.87	1.46199	
5018	Station_Holendrecht	5126	Centraal_Station	234	1349.8	1.36752	
5019	Reigersbos	5126	Centraal_Station	31	1543.49	1.83871	
5020	Gein	5126	Centraal_Station	38	1592.79	1.52632	
5306	Venserpolder	5126	Centraal_Station	75	1040.61	1	
5305	Station_Diemen-Zuid	5126	Centraal_Station	70	1088.45	1	
5304	Verrijn_Stuartweg	5126	Centraal_Station	80	1248.67	1	
5303	Station_Ganzenhoef	5126	Centraal_Station	64	1273.86	1	
5302	Kraaiennest_station	5126	Centraal_Station	23	1399.86	1	
5301	Gaasperplas	5126	Centraal_Station	32	1483.43	1	
5012	Overamstel	5126	Centraal_Station	30	1016.13	1	
5011	Station_RAI	5126	Centraal_Station	156	1187.06	1	
5010	Station_Zuid	5126	Centraal_Station	187	1245.98	1.25134	
5009	Amstelreenseweg	5126	Centraal_Station	2	1599.77	2	
5008	Henk_Sneevlietweg	5126	Centraal_Station	11	1760.29	2.09091	
5006	Station_Lelylaan	5126	Centraal_Station	1	2145.62	2	
5004	Jan_van_Galenstraat	5126	Centraal_Station	1	2055.34	3	
5119	De_Boelelaan/VU	5126	Centraal_Station	156	1482.09	1	
5118	A.J._Ernststraat	5126	Centraal_Station	35	1533.22	1	
5117	Van_Boshuizenstraat	5126	Centraal_Station	29	1710.61	1	
5116	Uilenstede	5126	Centraal_Station	15	1732.03	1	
5115	Kronenburg	5126	Centraal_Station	22	1770.58	1	
5114	Zonnestein	5126	Centraal_Station	7	1937.12	1	
5113	Onderuit	5126	Centraal_Station	2	1860.36	1	
5112	Oranjebaan	5126	Centraal_Station	9	2099.35	1	
5111	Amstelveen_centrum	5126	Centraal_Station	12	2079.38	1	
5110	Ouderkerkerlaan	5126	Centraal_Station	17	2211.18	1	
5109	Sportlaan	5126	Centraal_Station	9	2203.25	1	
5108	Marne	5126	Centraal_Station	3	2304.85	1	
5107	Gondel	5126	Centraal_Station	3	2338.9	1	
5106	Meent	5126	Centraal_Station	3	2293.68	1	
5105	Brink	5126	Centraal_Station	3	2408.58	1	
5104	Poortwachter	5126	Centraal_Station	11	2557.24	1	
5103	Spinnerij	5126	Centraal_Station	4	2551.84	1	
5102	Sacharovlaan	5126	Centraal_Station	9	2679.15	1	
5101	Westwijk	5126	Centraal_Station	131	2757.18	1	
5126	Centraal_Station	5125	Nieuwmarkt	199	137.68	1	
5124	Waterlooplein	5125	Nieuwmarkt	338	160.464	1	
5123	Weesperplein	5125	Nieuwmarkt	471	278.308	1	
5122	Wibautstraat	5125	Nieuwmarkt	178	327.775	1	
5121	Amstelstation	5125	Nieuwmarkt	211	457.385	1	
5120	Spaklerweg	5125	Nieuwmarkt	71	507.446	1	
5013	Van_der_Madeweg	5125	Nieuwmarkt	34	743.733	1	
5014	Station_Duivendrecht	5125	Nieuwmarkt	21	852.046	1	
5015	Strandvliet	5125	Nieuwmarkt	27	986.55	1.37037	
5016	Station_Bijlmer_ArenA	5125	Nieuwmarkt	304	1005.11	1.39474	
5017	Bullewijk	5125	Nieuwmarkt	94	1143.88	1.52128	
5018	Station_Holendrecht	5125	Nieuwmarkt	151	1240.4	1.50331	
5019	Reigersbos	5125	Nieuwmarkt	18	1397.16	1.5	
5020	Gein	5125	Nieuwmarkt	23	1470.93	1.3913	
5306	Venserpolder	5125	Nieuwmarkt	43	940.257	1	
5305	Station_Diemen-Zuid	5125	Nieuwmarkt	42	963.869	1	
5304	Verrijn_Stuartweg	5125	Nieuwmarkt	42	1121.03	1	
5303	Station_Ganzenhoef	5125	Nieuwmarkt	51	1135.26	1	
5302	Kraaiennest_station	5125	Nieuwmarkt	17	1333.18	1	
5301	Gaasperplas	5125	Nieuwmarkt	25	1274.83	1	
5012	Overamstel	5125	Nieuwmarkt	10	883.015	1	
5011	Station_RAI	5125	Nieuwmarkt	99	1083.41	1	
5010	Station_Zuid	5125	Nieuwmarkt	115	1146.94	1.22609	
