,",Line_ID,Upstream_stop_ID,Upstream_stop_name,Downstream_stop_ID,Downstream_stop_name,Passenger_load,Unnamed: 6"
0,"0,50,5001,Isolatorweg,5002,Station_Sloterdijk,570,"
1,"1,50,5002,Station_Sloterdijk,5003,Burg_De_Vlugtlaan,1570,"
2,"2,50,5003,Burg_De_Vlugtlaan,5004,Jan_van_Galenstraat,1719,"
3,"3,50,5004,Jan_van_Galenstraat,5005,Postjesweg,2090,"
4,"4,50,5005,Postjesweg,5006,Station_Lelylaan,2007,"
5,"5,50,5006,Station_Lelylaan,5007,Heemstedestraat,2536,"
6,"6,50,5007,Heemstedestraat,5008,Henk_Sneevlietweg,2266,"
7,"7,50,5008,Henk_Sneevlietweg,5009,Amstelreenseweg,2945,"
8,"8,50,5009,Amstelreenseweg,5010,Station_Zuid,2762,"
9,"9,50,5010,Station_Zuid,5011,Station_RAI,2769,"
10,"10,50,5011,Station_RAI,5012,Overamstel,2400,"
11,"11,50,5012,Overamstel,5013,Van_der_Madeweg,2241,"
12,"12,50,5013,Van_der_Madeweg,5014,Station_Duivendrecht,1716,"
13,"13,50,5014,Station_Duivendrecht,5015,Strandvliet,1528,"
14,"14,50,5015,Strandvliet,5016,Station_Bijlmer_ArenA,1472,"
15,"15,50,5016,Station_Bijlmer_ArenA,5017,Bullewijk,1050,"
16,"16,50,5019,Reigersbos,5020,Gein,315,"
17,"17,50,5018,Station_Holendrecht,5019,Reigersbos,651,"
18,"18,50,5017,Bullewijk,5018,Station_Holendrecht,930,"
19,"19,250,25002,Station_Sloterdijk,25001,Isolatorweg,204,"
20,"20,250,25003,Burg_De_Vlugtlaan,25002,Station_Sloterdijk,2565,"
21,"21,250,25004,Jan_van_Galenstraat,25003,Burg_De_Vlugtlaan,3154,"
22,"22,250,25018,Station_Holendrecht,25017,Bullewijk,1756,"
23,"23,250,25005,Postjesweg,25004,Jan_van_Galenstraat,3534,"
24,"24,250,25007,Heemstedestraat,25006,Station_Lelylaan,4122,"
25,"25,250,25006,Station_Lelylaan,25005,Postjesweg,4003,"
26,"26,250,25008,Henk_Sneevlietweg,25007,Heemstedestraat,4643,"
27,"27,250,25017,Bullewijk,25016,Station_Bijlmer_ArenA,2547,"
28,"28,250,25011,Station_RAI,25010,Station_Zuid,3520,"
29,"29,250,25019,Reigersbos,25018,Station_Holendrecht,426,"
30,"30,250,25010,Station_Zuid,25009,Amstelreenseweg,3983,"
31,"31,250,25015,Strandvliet,25014,Station_Duivendrecht,4053,"
32,"32,250,25013,Van_der_Madeweg,25012,Overamstel,3049,"
33,"33,250,25014,Station_Duivendrecht,25013,Van_der_Madeweg,3152,"
34,"34,250,25012,Overamstel,25011,Station_RAI,3146,"
35,"35,250,25020,Gein,25019,Reigersbos,202,"
36,"36,250,25009,Amstelreenseweg,25008,Henk_Sneevlietweg,4709,"
37,"37,250,25016,Station_Bijlmer_ArenA,25015,Strandvliet,4119,"
38,"38,51,5010,Station_Zuid,5011,Station_RAI,2779,"
39,"39,51,5011,Station_RAI,5012,Overamstel,2991,"
40,"40,51,5012,Overamstel,5120,Spaklerweg,3077,"
41,"41,51,5102,Sacharovlaan,5103,Spinnerij,989,"
42,"42,51,5106,Meent,5107,Gondel,1165,"
43,"43,51,5104,Poortwachter,5105,Brink,1136,"
44,"44,51,5103,Spinnerij,5104,Poortwachter,1039,"
45,"45,51,5107,Gondel,5108,Marne,1194,"
46,"46,51,5108,Marne,5109,Sportlaan,1214,"
47,"47,51,5109,Sportlaan,5110,Ouderkerkerlaan,1309,"
48,"48,51,5101,Westwijk,5102,Sacharovlaan,892,"
49,"49,51,5105,Brink,5106,Meent,1155,"
50,"50,51,5122,Wibautstraat,5123,Weesperplein,2708,"
51,"51,51,5125,Nieuwmarkt,5126,Centraal_Station,1725,"
52,"52,51,5116,Uilenstede,5117,Van_Boshuizenstraat,1716,"
53,"53,51,5124,Waterlooplein,5125,Nieuwmarkt,2666,"
54,"54,51,5117,Van_Boshuizenstraat,5118,A.J._Ernststraat,1817,"
55,"55,51,5118,A.J._Ernststraat,5119,De_Boelelaan/VU,1952,"
56,"56,51,5111,Amstelveen_centrum,5112,Oranjebaan,1501,"
57,"57,51,5120,Spaklerweg,5121,Amstelstation,3089,"
58,"58,51,5112,Oranjebaan,5113,Onderuit,1547,"
59,"59,51,5121,Amstelstation,5122,Wibautstraat,2795,"
60,"60,51,5113,Onderuit,5114,Zonnestein,1558,"
61,"61,51,5123,Weesperplein,5124,Waterlooplein,2704,"
62,"62,51,5115,Kronenburg,5116,Uilenstede,1631,"
63,"63,51,5119,De_Boelelaan/VU,5010,Station_Zuid,2473,"
64,"64,51,5110,Ouderkerkerlaan,5111,Amstelveen_centrum,1432,"
65,"65,51,5114,Zonnestein,5115,Kronenburg,1556,"
66,"66,251,25110,Ouderkerkerlaan,25109,Sportlaan,1990,"
67,"67,251,25105,Brink,25104,Poortwachter,1112,"
68,"68,251,25111,Amstelveen_centrum,25110,Ouderkerkerlaan,2029,"
69,"69,251,25011,Station_RAI,25010,Station_Zuid,2688,"
70,"70,251,25010,Station_Zuid,25119,De_Boelelaan/VU,2871,"
71,"71,251,25102,Sacharovlaan,25101,Westwijk,543,"
72,"72,251,25103,Spinnerij,25102,Sacharovlaan,882,"
73,"73,251,25012,Overamstel,25011,Station_RAI,2459,"
74,"74,251,25104,Poortwachter,25103,Spinnerij,925,"
75,"75,251,25106,Meent,25105,Brink,1196,"
76,"76,251,25107,Gondel,25106,Meent,1317,"
77,"77,251,25108,Marne,25107,Gondel,1486,"
78,"78,251,25109,Sportlaan,25108,Marne,1815,"
79,"79,251,25124,Waterlooplein,25123,Weesperplein,1590,"
80,"80,251,25120,Spaklerweg,25012,Overamstel,2289,"
