Trip_ID	Total_travel_time	
5001	2479.59	
5002	2437.13	
5003	2398.42	
5004	2480.98	
5005	2522.94	
5006	2360.98	
5007	2445.95	
5008	2485.76	
5009	2526.06	
5010	2487.27	
5011	2528.34	
5012	2408.65	
5013	2450.42	
5014	2491.07	
5015	2573.85	
5016	2411.39	
5017	2455.2	
5018	2414.75	
5019	2496.59	
5020	2414.96	
5021	2375.61	
5022	2457.23	
5023	2500.04	
5024	2543.68	
5025	2419.74	
5026	2462.19	
5027	2505.24	
25001	2501.63	
25002	2555.91	
25003	2310.59	
25004	2464.13	
25005	2519.58	
25006	2674.8	
25007	2427.73	
25008	2582.79	
25009	2638.97	
25010	2593.65	
25011	2546.2	
25012	2601.03	
25013	2554.85	
25014	2509.98	
25015	2564.88	
25016	2721.43	
25017	2473.52	
25018	2529.96	
25019	2684.92	
25020	2639.26	
25021	2693.28	
25022	2646.61	
25023	2599.53	
25024	2453.22	
25025	2609.93	
25026	2360.51	
25027	2415.64	
5101	2610.65	
5102	2470.65	
5103	2502.81	
5104	2557.33	
5105	2433.3	
5106	2471.37	
5107	2512.09	
5108	2538.59	
5109	2583.31	
5110	2616.27	
5111	2496.97	
5112	2534.42	
5113	2556.56	
5114	2592.34	
5115	2472.46	
5116	2516.14	
5117	2533.9	
5118	2578.06	
5119	2611.82	
5120	2484.52	
5121	2512.73	
5122	2550.37	
5123	2583.09	
5124	2457.94	
5125	2492.26	
5126	2528.98	
25101	3155.63	
25102	3114.91	
25103	3280.16	
25104	3322.13	
25105	3364.46	
25106	3242.46	
25107	3285.19	
25108	3328.77	
25109	3206.28	
25110	3369.72	
25111	3207.29	
25112	3167.33	
25113	3334.25	
25114	3169.76	
25115	3210.92	
25116	3294.88	
25117	3131.25	
25118	3172.62	
25119	3255.24	
25120	3422.05	
25121	3136.75	
25122	3302.95	
25123	3383.9	
25124	3220.46	
25125	3261.28	
5301	1228.83	
5302	1238.44	
5303	1234.58	
5304	1225.62	
5305	1223.55	
5306	1241.89	
5307	1238.39	
5308	1234.97	
5309	1238.83	
5310	1227.05	
5311	1247.59	
5312	1254.87	
5313	1239.68	
5314	1249.86	
5315	1245.42	
5316	1248.77	
5317	1250.01	
5318	1226.86	
5319	1234.45	
5320	1236.86	
5321	1242.63	
5322	1253.93	
5323	1229.47	
5324	1240.54	
5325	1229.89	
5326	1232.1	
5327	1221.97	
5328	1232.13	
5329	1229.12	
25301	1611.63	
25302	1564.91	
25303	1521.59	
25304	1473.13	
25305	1527.49	
25306	1482.42	
25307	1538.06	
25308	1492.27	
25309	1445.27	
25310	1600.63	
25311	1657.31	
25312	1611.57	
25313	1566.08	
25314	1620.82	
25315	1574.03	
25316	1528.5	
25317	1582.07	
25318	1538.82	
25319	1490.54	
25320	1547.38	
25321	1499.5	
25322	1454.33	
25323	1509.54	
25324	1462.72	
25325	1619.2	
25326	1471.24	
25327	1629.16	
25328	1582.58	
25329	1635.67	
5401	1337.93	
5402	1338.81	
5403	1343.42	
5404	1357.88	
5405	1345.47	
5406	1353.83	
5407	1349.77	
5408	1358.78	
5409	1367.48	
5410	1370.47	
5411	1360.32	
5412	1371.38	
5413	1365.3	
5414	1361.15	
5415	1358.87	
5416	1359.17	
5417	1351.39	
5418	1359.9	
5419	1363.42	
5420	1365.08	
5421	1366.04	
5422	1358.36	
5423	1359.88	
5424	1342.01	
5425	1347.45	
5426	1343.95	
5427	1344.11	
5428	1345.41	
5429	1347.12	
25401	1805.63	
25402	1764.91	
25403	1808.13	
25404	1767.42	
25405	1810.89	
25406	1769.04	
25407	1933.51	
25408	1814.95	
25409	1937.98	
25410	1897.5	
25411	1856.27	
25412	1818.1	
25413	1858.27	
25414	1819.42	
25415	1780.14	
25416	1821.9	
25417	1780.34	
25418	1823.87	
25419	1783.75	
25420	1743.03	
25421	1783.96	
25422	1950.71	
25423	1910.34	
25424	1746.46	
25425	1911.2	
25426	1871.1	
25427	1831.19	
25428	1874.24	
